Date/Time,PLENUM:Zone Air Temperature [C](TimeStep),SOUTH PERIMETER:Zone Air Temperature [C](TimeStep),EAST PERIMETER:Zone Air Temperature [C](TimeStep),NORTH PERIMETER:Zone Air Temperature [C](TimeStep),WEST PERIMETER:Zone Air Temperature [C](TimeStep),CORE:Zone Air Temperature [C](TimeStep) 
 07/21  10:15:00,27.25792606272097,29.164895419912523,33.331008551160497,29.26923683389763,28.92408078518092,28.499226946877458 
 07/21  10:30:00,27.597003819953167,29.375202834416,33.219239354552389,29.462046997863859,29.13808310258254,28.653897335764225 
 07/21  10:45:00,27.941481310398055,29.568078354316634,33.06350385252496,29.639965523407136,29.344262665404295,28.796024927551714 
 07/21  11:00:00,28.291160381860438,29.75369689563751,32.87539664311365,29.805215475012035,29.528585646727554,28.928052032635415 
 07/21  11:15:00,28.64452490069941,29.9148961955947,32.66598699790721,29.9645273633988,29.703431046654975,29.050334719985764 
 07/21  11:30:00,28.992197776773766,30.06725373740157,32.45082591224232,30.103724631187679,29.86148362190155,29.163876416255513 
 07/21  11:45:00,29.338818173411594,30.206885976488324,32.24829151811008,30.23689374455578,30.01312280027529,29.27036562100806 
 07/21  12:00:00,29.65487202712214,30.344288313649494,32.081800990456219,30.35985315882124,30.1554764254967,29.373548324147757 
 07/21  12:15:00,30.0014669681389,30.377307227629083,31.893583169929536,30.38649267456185,30.22660149486775,29.35103901406824 
 07/21  12:30:00,30.334990765377808,30.424096293497479,31.746189641136934,30.420111415376814,30.356440146584615,29.331404308766886 
 07/21  12:45:00,30.676449269255828,30.51611916223298,31.647417514275348,30.49945241662438,30.58211177875487,29.379628837446505 
 07/21  13:00:00,31.020009842945848,30.609253802573347,31.569671179669329,30.582713352114234,30.862241103049798,29.44117035009126 
 07/21  13:15:00,31.344910794583947,30.79007524897998,31.58804996436434,30.75266850982669,31.2730318447594,29.62806825286291 
 07/21  13:30:00,31.660473039350678,30.949613915880833,31.59802584360673,30.90234694729085,31.69680686694467,29.80683341108898 
 07/21  13:45:00,31.969032343310155,31.059983685942865,31.589561265273809,31.003584976876849,32.11918124863709,29.915030473687595 
 07/21  14:00:00,32.274988932693158,31.159665441895375,31.58951970080797,31.09630061053133,32.557192654905069,30.00855356036181 
 07/21  14:15:00,32.554876436536499,31.246423750337216,31.590304665682419,31.179070495971304,33.00866660889028,30.093683192623325 
 07/21  14:30:00,32.828381009915798,31.3205188264421,31.592470370582189,31.252636276641334,33.45404601231584,30.171838519255276 
 07/21  14:45:00,33.0814755818831,31.382929596800776,31.5959252620682,31.318596620483065,33.89004434148061,30.244843214302393 
 07/21  15:00:00,33.31714934163489,31.434608068760576,31.591903655292904,31.369031284761279,34.33835092396703,30.313231521698915 
 07/21  15:15:00,33.534106038014588,31.4710317170574,31.584513586219317,31.4093207648298,34.76212847095148,30.375665696622386 
 07/21  15:30:00,33.73071184453711,31.492490830336373,31.576052000055968,31.44327192862293,35.14795719753192,30.4321867105662 
 07/21  15:45:00,33.90553682404505,31.50132814062129,31.56413124869851,31.469106149424545,35.499651722103028,30.48326335991987 
 07/21  16:00:00,34.05798940052374,31.498798404991214,31.547907526408,31.486520100866309,35.81269588733238,30.52897071717746 
 07/21  16:15:00,34.18803569825148,31.485632754417958,31.525891622992586,31.49454011587412,36.08987357698545,30.568966834645044 
 07/21  16:30:00,34.28929608847485,31.457482046240828,31.489109510414978,31.491200386779867,36.32877835971529,30.601178017541856 
 07/21  16:45:00,34.36698871807546,31.420800431780877,31.4459381413189,31.49697855592892,36.59015857086588,30.628299180490104 
 07/21  17:00:00,34.42390247576318,31.37743372449396,31.398406556820363,31.51851424919448,36.881294790896898,30.654229130256384 
 07/21  17:15:00,34.42488266517993,30.912639565024209,30.950068071131974,31.12618813561241,36.81718713907114,30.170079062128214 
 07/21  17:30:00,34.39450443507377,30.431549551748569,30.48655890178668,30.76152341759792,36.84515306600791,29.701517628716404 
 07/21  17:45:00,34.32413892866994,30.14962937237675,30.208061787993804,30.599646415959943,36.83165908808523,29.49747243542482 
 07/21  18:00:00,34.2347579693437,29.925476614024338,29.981043871227663,30.49958580953274,36.70338187950967,29.366828167958688 
 07/21  18:15:00,34.12837598739799,29.54967072713069,29.607380976062477,30.205005603715724,36.23955851577648,29.053583471676768 
 07/21  18:30:00,33.95949089742913,29.20063403673462,29.26203008116439,29.940840622646527,35.567669030001329,28.809841196247175 
 07/21  18:45:00,33.75501434381772,28.866944351070793,28.9322238784777,29.61827182240615,34.62057299225227,28.548171204526694 
 07/21  19:00:00,33.50978877962195,28.557845592372848,28.623200246614084,29.220248302228439,33.49883404865711,28.341776323992023 
 07/21  19:15:00,33.2455010602428,28.287750071080006,28.349045382633144,28.858002694126549,32.51174246761109,28.142616210822184 
 07/21  19:30:00,32.912904611701538,27.961525286233227,28.029072624556276,28.42631826443688,31.534643112656629,27.857185114557365 
 07/21  19:45:00,32.66188703468882,27.79064377374418,27.845810697735048,28.208453342908784,30.894243165362359,27.726599090860945 
 07/21  20:00:00,32.30419530910172,27.531420892467357,27.58484220497511,27.878569229400577,30.14853498188992,27.491351039628776 
 07/21  20:15:00,31.981292144474787,27.25095532223597,27.30520698935065,27.55028240323456,29.512477056962064,27.21740810878582 
 07/21  20:30:00,31.72401877438396,27.073505438682838,27.12224903261532,27.346080850711336,29.102546298250748,27.063822213136676 
 07/21  20:45:00,31.328988908992814,26.791775750593425,26.8458150074841,27.01604980230108,28.464413911154588,26.781404094232877 
 07/21  21:00:00,31.018798973676117,26.609141412178336,26.66373031759748,26.802548628321696,28.054299283884107,26.601824606675736 
 07/21  21:15:00,30.706315768215505,26.438776015913818,26.490396267305948,26.605809855785148,27.68342870317665,26.448257342256889 
 07/21  21:30:00,30.40224108910429,26.280144723693775,26.32911064447698,26.42432961388222,27.353041848139264,26.30750763640964 
 07/21  21:45:00,30.106595813669537,26.13275824133963,26.17898459357609,26.25732107665951,27.058453593553609,26.178045238619313 
 07/21  22:00:00,29.827455339457598,25.998986550579013,26.042654723138616,26.10716724943005,26.802136379993365,26.060605380074337 
 07/21  22:15:00,29.608923383888908,25.78678399931414,25.830320886406576,25.885591054282036,26.52063758699844,25.85079854256663 
 07/21  22:30:00,29.262632185837214,25.50880887340914,25.563613320836376,25.58993978695669,26.137195765430996,25.546263772011647 
 07/21  22:45:00,28.96650179304428,25.31351319539535,25.37534368489068,25.380779428797479,25.86023760706015,25.33067104445459 
 07/21  23:00:00,28.716017239122697,25.17704940953831,25.238133305908499,25.23467135144583,25.66062824624345,25.19447519654801 
 07/21  23:15:00,28.469995564565627,25.014023477841488,25.073428796805478,25.063499066041027,25.443518226727887,25.037823370759797 
 07/21  23:30:00,28.222840877707584,24.853622242171089,24.912812080565577,24.895443809409735,25.235039637058955,24.881174470473405 
 07/21  23:45:00,27.98051247607342,24.713860642912186,24.772414942220004,24.748716766788794,25.05193025413355,24.745060173649294 
 07/21  24:00:00,27.746205412657298,24.591131577660926,24.647508636890604,24.619916439119565,24.889992738670967,24.62936491419242 
